edge_probability,fraction,no_edges,graph_uncertainty,mean_uncertainty,std_dev_uncertainty,min_uncertainty,max_uncertainty,centrality_metric,mean_se_value,min_se_value,max_se_value
0.05,0.3,10460,6459.329053123178,48.020381333348254,9.039912740879808,16.591785289542234,78.72924522922844,degree_centrality,0.08187919549684688,0.0403219302914469,0.13949775003628972
0.05,0.3,10460,6459.329053123178,48.020381333348254,9.039912740879808,16.591785289542234,78.72924522922844,closeness_centrality,0.03656289937092052,0.020064484614857426,0.06854430780670052
0.05,0.3,10460,6459.329053123178,48.020381333348254,9.039912740879808,16.591785289542234,78.72924522922844,betweenness_centrality,1.8657352674679314e-05,3.407541399920059e-10,0.00020259386534340643
0.05,0.3,10460,6459.329053123178,48.020381333348254,9.039912740879808,16.591785289542234,78.72924522922844,eigenvector_centrality,0.0002684714357970849,1.3580428747712513e-08,0.0029035842023496113
0.05,0.35,11936,6789.075555369067,50.637825318004815,9.550193250972768,16.842055645212216,81.52827719002615,degree_centrality,0.11110375639102599,0.05614425573781067,0.16452960436121997
0.05,0.35,11936,6789.075555369067,50.637825318004815,9.550193250972768,16.842055645212216,81.52827719002615,closeness_centrality,0.043607720107120704,0.023706864236026172,0.07246768554705893
0.05,0.35,11936,6789.075555369067,50.637825318004815,9.550193250972768,16.842055645212216,81.52827719002615,betweenness_centrality,2.0100742012388345e-05,8.052036648889704e-11,0.0002092309494532436
0.05,0.35,11936,6789.075555369067,50.637825318004815,9.550193250972768,16.842055645212216,81.52827719002615,eigenvector_centrality,0.00027817451035768164,1.3534531946417718e-11,0.0030108458526599156
0.05,0.4,13412,7077.578052487642,52.935575431479826,10.025769960262355,17.214622686302338,83.4877969802081,degree_centrality,0.14484243802519323,0.08361155465234428,0.20960952242705755
0.05,0.4,13412,7077.578052487642,52.935575431479826,10.025769960262355,17.214622686302338,83.4877969802081,closeness_centrality,0.05175601853760424,0.03166146078723587,0.07918827289360109
0.05,0.4,13412,7077.578052487642,52.935575431479826,10.025769960262355,17.214622686302338,83.4877969802081,betweenness_centrality,2.1574546620666832e-05,8.286981855252813e-11,0.00023045162942772525
0.05,0.4,13412,7077.578052487642,52.935575431479826,10.025769960262355,17.214622686302338,83.4877969802081,eigenvector_centrality,0.00028234155632527835,2.8107110575612265e-10,0.002677029050818448
0.05,0.45,14888,7334.027612061244,54.9676118913781,10.478989189552362,17.913596526803147,86.81438603296782,degree_centrality,0.18307369235980067,0.1165303785422816,0.27257624877018116
