m,fraction,no_edges,graph_uncertainty,mean_uncertainty,std_dev_uncertainty,min_uncertainty,max_uncertainty,centrality_metric,mean_se_value,min_se_value,max_se_value
5,0.85,26640,7161.966390862149,50.77729173526669,27.734156066920946,31.203182622335937,196.04858608963488,closeness_centrality,0.22686985814742613,0.10230223139080497,0.3095516121241395
5,0.85,26640,7161.966390862149,50.77729173526669,27.734156066920946,31.203182622335937,196.04858608963488,betweenness_centrality,0.00028053098312907145,7.51682976701882e-14,0.02219467871561258
5,0.85,26640,7161.966390862149,50.77729173526669,27.734156066920946,31.203182622335937,196.04858608963488,eigenvector_centrality,0.0018039777834096852,3.909351631087055e-08,0.06682615539259071
5,0.9,28135,7260.685894705075,51.55985060519695,28.418282251846765,31.732551171954977,202.52725276475758,degree_centrality,0.7489259850647567,0.42328349542749294,0.8681150304027353
5,0.9,28135,7260.685894705075,51.55985060519695,28.418282251846765,31.732551171954977,202.52725276475758,closeness_centrality,0.2645921991146374,0.12999837499838754,0.3391633246221823
5,0.9,28135,7260.685894705075,51.55985060519695,28.418282251846765,31.732551171954977,202.52725276475758,betweenness_centrality,0.0002828145179870358,3.3169731482833663e-12,0.022259852875367445
5,0.9,28135,7260.685894705075,51.55985060519695,28.418282251846765,31.732551171954977,202.52725276475758,eigenvector_centrality,0.0018093870031747408,1.6635197222882701e-09,0.0668438069822462
5,0.95,29630,7354.180729004904,52.28673482884523,28.97218599395682,32.16187286729253,205.1089923955581,degree_centrality,0.8342437057466832,0.44981532555926507,0.9212915920710953
5,0.95,29630,7354.180729004904,52.28673482884523,28.97218599395682,32.16187286729253,205.1089923955581,closeness_centrality,0.309086397432042,0.14335502798570157,0.3872252878513686
5,0.95,29630,7354.180729004904,52.28673482884523,28.97218599395682,32.16187286729253,205.1089923955581,betweenness_centrality,0.00028514779245272207,1.014774656778798e-09,0.022326505880880577
5,0.95,29630,7354.180729004904,52.28673482884523,28.97218599395682,32.16187286729253,205.1089923955581,eigenvector_centrality,0.0018207367593360965,1.5499399352674338e-09,0.06784477771599244
5,1.0,31125,7442.97630621763,53.00497220161566,29.631011937465,32.834827322772924,210.56751163241088,degree_centrality,0.92407657941001,0.5110240157416814,0.960242576732633
5,1.0,31125,7442.97630621763,53.00497220161566,29.631011937465,32.834827322772924,210.56751163241088,closeness_centrality,0.361761645981881,0.17718226068144943,0.43353824789581535
5,1.0,31125,7442.97630621763,53.00497220161566,29.631011937465,32.834827322772924,210.56751163241088,betweenness_centrality,0.0002874885272978358,4.4809815341997215e-08,0.022384991856504277
5,1.0,31125,7442.97630621763,53.00497220161566,29.631011937465,32.834827322772924,210.56751163241088,eigenvector_centrality,0.001823317080671416,4.467657786356447e-08,0.06797302582113493
10,0.0,2400,0.0,0.0,0.0,0.0,0.0,degree_centrality,0.0,0.0,0.0
10,0.0,2400,0.0,0.0,0.0,0.0,0.0,closeness_centrality,0.0,0.0,0.0
10,0.0,2400,0.0,0.0,0.0,0.0,0.0,betweenness_centrality,9.916296958120071e-36,0.0,4.333342374871281e-34
10,0.0,2400,0.0,0.0,0.0,0.0,0.0,eigenvector_centrality,8.225646792477884e-34,0.0,4.930380657631324e-32
10,0.05,3836,3653.1299190908476,24.338517378069692,6.519569554615146,12.595257481449037,51.582253689845594,degree_centrality,0.002288350187900194,0.00025806035386525953,0.007112788503411235
10,0.05,3836,3653.1299190908476,24.338517378069692,6.519569554615146,12.595257481449037,51.582253689845594,closeness_centrality,0.0033848825491139796,3.3446175446633124e-05,0.013020151274802563
10,0.05,3836,3653.1299190908476,24.338517378069692,6.519569554615146,12.595257481449037,51.582253689845594,betweenness_centrality,1.9368173284176042e-05,2.2546770719945222e-10,0.0010554305135568808
10,0.05,3836,3653.1299190908476,24.338517378069692,6.519569554615146,12.595257481449037,51.582253689845594,eigenvector_centrality,0.00016103298087262038,3.398655528997387e-10,0.0024730455904181333
10,0.1,5272,5234.974387622993,35.94856522779197,9.837417883767687,20.12573885144584,74.02917615872306,degree_centrality,0.008845018628731788,0.001951581426106029,0.01975774584280898
10,0.1,5272,5234.974387622993,35.94856522779197,9.837417883767687,20.12573885144584,74.02917615872306,closeness_centrality,0.0062822764914912755,0.00044768745268142365,0.019787427041930327
10,0.1,5272,5234.974387622993,35.94856522779197,9.837417883767687,20.12573885144584,74.02917615872306,betweenness_centrality,3.22009049861512e-05,1.6530639642101642e-09,0.0015760236228798627
10,0.1,5272,5234.974387622993,35.94856522779197,9.837417883767687,20.12573885144584,74.02917615872306,eigenvector_centrality,0.0003935231657106426,6.540262512713428e-08,0.005795984373308628
10,0.15,6709,6305.081842039548,43.997769718385776,12.86923557977024,28.81645264447462,89.62120749070523,degree_centrality,0.019614651376590703,0.0064515088466315035,0.037160690956597464
10,0.15,6709,6305.081842039548,43.997769718385776,12.86923557977024,28.81645264447462,89.62120749070523,closeness_centrality,0.00867546446728661,0.0012750177956456286,0.02364083654670562
10,0.15,6709,6305.081842039548,43.997769718385776,12.86923557977024,28.81645264447462,89.62120749070523,betweenness_centrality,4.0774412783697766e-05,3.121335373157341e-10,0.0019926692495800787
10,0.15,6709,6305.081842039548,43.997769718385776,12.86923557977024,28.81645264447462,89.62120749070523,eigenvector_centrality,0.0005681656989731657,1.2176472681212637e-07,0.008963569100499908
10,0.2,8145,7117.4511380110725,50.092676664646575,15.576629275994296,31.924630931228123,105.9776036197335,degree_centrality,0.03474356865211851,0.013564297350042739,0.06814406219254526
10,0.2,8145,7117.4511380110725,50.092676664646575,15.576629275994296,31.924630931228123,105.9776036197335,closeness_centrality,0.01158013294636836,0.0025508552142330557,0.028055132363114486
10,0.2,8145,7117.4511380110725,50.092676664646575,15.576629275994296,31.924630931228123,105.9776036197335,betweenness_centrality,4.685876603641138e-05,1.2267145429026008e-10,0.0022665821792790964
10,0.2,8145,7117.4511380110725,50.092676664646575,15.576629275994296,31.924630931228123,105.9776036197335,eigenvector_centrality,0.0007054435706811135,3.6891307089269766e-10,0.011583661795898299
10,0.25,9581,7773.643010530275,55.05382141798905,17.7031698599547,35.05144392399329,115.06869625029482,degree_centrality,0.05404119288398575,0.027112465927968902,0.1032241415461041
