fraction,number_of_edges,graph_uncertainty,mean_uncertainty,std_dev_uncertainty,min_uncertainty,max_uncertainty,mean_degree_centrality,mean_closeness_centrality
0.17,101183,71747.14903044242,130.52126987658747,48.96374426816368,83.57380326706942,345.7785851790256,0.20256856856856856,0.5564911180043921
0.18,105982,73199.73578192756,133.26452719445868,50.42951743950598,84.88741544112912,360.4280035326826,0.21217617617617618,0.559480967321504
0.19,110781,74581.09848093869,135.91697271341073,52.002905772333364,86.31883172321609,377.1703223441867,0.22178378378378377,0.5625043942363385
0.2,115580,75897.91656819792,138.4594119620285,53.545612023284285,88.66451492245153,386.5515333845406,0.2313913913913914,0.5655618269208766
0.21,120379,77155.96935671984,140.8792437639572,54.99766861882817,90.68395327903849,391.7932914905363,0.240998998998999,0.5686515003521675
0.22,125178,78360.29122390065,143.18471507159052,56.32131105414961,91.85984308018855,399.50146301333376,0.2506066066066066,0.5717740474899228
0.23,129977,79515.29466252562,145.3892733112428,57.595234008335304,92.43027812187381,409.50471432819506,0.2602142142142142,0.574930716912747
0.24,134776,80624.86887767659,147.52487518284724,58.88349637107179,93.5383666480656,420.4060834078047,0.2698218218218218,0.5781238921729371
0.25,139575,81692.45954976823,149.5779993575186,60.12803411971853,94.47419621966172,429.8027224622143,0.27942942942942944,0.5813521339811474
0.26,144374,82721.13392986967,151.56180841137038,61.35224146891604,96.01102791028458,436.6791230413433,0.28903703703703704,0.5846161490449755
0.27,149173,83713.63439472158,153.469615019763,62.50398199679298,96.87108763162531,440.06457412963863,0.29864464464464463,0.5879162822770481
0.28,153972,84672.42283637839,155.30723875524978,63.612678347256995,98.17282656049876,448.92732180968125,0.3082522522522522,0.5912531111819929
0.29,158771,85599.71770926694,157.1099271729982,64.7809007995588,99.41833533366456,460.74079785602135,0.3178598598598599,0.5946308813769474
0.3,163570,86497.52514750164,158.83681565161336,65.82187315049295,100.18381114641863,465.97538318082275,0.32746746746746747,0.5980461977377179
0.31,168369,87367.66525757285,160.5106622451071,66.8275602949849,101.55365619973581,474.18398723212016,0.33707507507507506,0.6014996103626405
0.32,173168,88211.79445818043,162.1193573578166,67.74434844548591,102.95955975544119,477.2110850808314,0.34668268268268265,0.6049920161906996
0.33,177967,89031.42456036726,163.70312840619346,68.73737492335204,104.20639335315873,485.15230663023556,0.3562902902902903,0.6085286637951255
0.34,182766,89827.93914316982,165.23588422337596,69.67917028262701,105.03905972875732,493.86742648047345,0.3658978978978979,0.6121041678804469
0.35,187565,90602.60767260297,166.73292017101483,70.61865258185819,105.58110957677214,499.55460385968826,0.3755055055055055,0.6157239380316071
0.36,192364,91356.59772752323,168.173063351337,71.44749769306796,106.28835250471481,505.14740623301805,0.38511311311311314,0.6193834796852161
