exp_name,sigma_mean,sigma_variance,uncertainty_mean,uncertainty_variance,dc_distance,dc_correlation,dc_mean_change,bc_distance,bc_correlation,bc_mean_change,cc_distance,cc_correlation,cc_mean_change,ec_distance,ec_correlation,ec_mean_change
BA_500_0.9_0.3,0.9436981544823926,0.06961133494585663,53.50237044158227,918.5857469022615,0.030933867735470934,0.9895369181476726,0.17151111111111111,0.00010284362152021823,0.09171915087660354,0.03774083129585106,0.011655423823491697,0.9895369181476726,0.02052834970919358,0.001082559439556249,0.9171680846723387,0.014931253408275936
BA_500_0.9_0.4,0.9276086432174618,0.07310235582719071,61.543585975248675,836.9675603099852,0.03934268537074148,0.9866606506426026,0.21813333333333335,0.00011392404839670745,0.13303733214932856,0.04800000000000722,0.014114002011779203,0.9866606506426026,0.024858570008419047,0.0013308134830922935,0.9396550226200905,0.01936946334419931
BA_500_0.9_0.5,0.9158172233314626,0.07540120110702998,68.50443933273115,777.7906348459705,0.047647294589178345,0.978869643478574,0.2641777777777778,0.00012861399937607844,0.2074870699482798,0.05813202933986093,0.016568963254844027,0.978869643478574,0.029182419890100352,0.0016287309652216434,0.9307398509594038,0.023713187892153327
BA_500_0.9_0.6,0.9161377000704204,0.07841129455243431,74.94704026148236,712.633722990013,0.056368737474949894,0.961310597242389,0.31253333333333344,0.00014505906469443973,0.2067278989115956,0.06877261613692702,0.01913304046906307,0.961310597242389,0.03369845247132436,0.0019541860457863956,0.9274123816495266,0.02825262441211427
BA_500_0.9_0.7,0.9100624544464652,0.08050409948292066,80.43488528184288,664.3056770173266,0.06465731462925851,0.9371940527762112,0.3584888888888888,0.00016325781176704875,0.21066535466141867,0.0788850855745791,0.02158783271486939,0.9371940527762112,0.03802200470318417,0.0022641025781338833,0.9142623450493802,0.03251081047213223
BA_500_0.9_0.8,0.9063052911073632,0.08273909234194513,85.47020196145985,625.9436423210286,0.07301803607214427,0.9460019920079681,0.4048444444444447,0.00018483081723061942,0.2901553046212185,0.08908557457213362,0.024084834121016675,0.9460019920079681,0.04241989866791737,0.00257649280237248,0.9236276625106501,0.03674284790827583
BA_500_0.9_0.9,0.9106990720681144,0.08388869256674285,90.45918743437807,581.5813364289808,0.08197995991983965,0.9497658790635163,0.4545333333333333,0.00020937942025799219,0.3601786567146269,0.10001955990220679,0.026780458620063716,0.9497658790635163,0.04716762155119621,0.0029110283874475406,0.9244801459205837,0.0412520161493681
BA_500_0.9_1.0,0.8963660526485958,0.08160479272991684,94.2295217101356,550.0902735149899,0.08925050100200399,0.9276291505166021,0.49484444444444453,0.00022963530472520208,0.3543712094848379,0.10888997555012825,0.028992315112333925,0.9276291505166021,0.05106329829942019,0.0031803382105967727,0.9070907323629295,0.044840713439916115
BA_500_1.0_0.1,1.88,15.265600000000003,0.188,0.15265600000000004,0.0003767535070140279,0.380690290761163,0.09418837675350722,7.565331466146137e-07,1.0,0.000378266573307362,9.447217153469365e-05,0.380690290761163,0.00018837901707230342,0.0004099773482053135,0.380690290761163,0.0018898850770668958
BA_500_1.0_0.2,2.1,6.089999999999998,0.42,0.24360000000000004,0.0008416833667334669,-0.01106126024504106,0.21042084168336733,1.69012724243678e-06,1.0,0.0008450636212185055,0.00021105485130091143,-0.01106126024504106,0.0004208467402681521,0.0006875770278032527,-0.01106126024504106,0.004280324757479326
BA_500_1.0_0.3,2.1733333333333333,2.521066666666667,0.652,0.226896,0.0013066132264529058,-0.03750408601634403,0.32665330661322745,2.6237213382589465e-06,1.0,0.0013118606691294322,0.0003276375310671291,-0.03750408601634403,0.0006533144634640008,0.0007265799815098125,-0.03750408601634403,0.006619077935104383
BA_500_1.0_0.4,2.12,0.8055999999999999,0.848,0.12889599999999998,0.0016993987975951902,0.3254756699026796,0.4248496993987988,3.4124473847292366e-06,1.0,0.0017062236923647348,0.00042612979500755444,0.3254756699026796,0.0008497096089221619,0.0005822055865806385,0.3254756699026796,0.00861638111196921
BA_500_1.0_0.5,1.96,0.0784,0.98,0.0196,0.0019639278557114226,0.8951310045240181,0.49098196392785703,3.943630232352339e-06,1.0,0.001971815116176296,0.0004924613197021266,0.8951310045240181,0.0009819757272921336,0.0003971110334378476,0.8951310045240181,0.009959862994632335
