exp_name,sigma_mean,sigma_variance,uncertainty_mean,uncertainty_variance,dc_distance,dc_correlation,dc_mean_change,bc_distance,bc_correlation,bc_mean_change,cc_distance,cc_correlation,cc_mean_change,ec_distance,ec_correlation,ec_mean_change
ER_100_0.3_0.9,1.0112920886059227,0.00040748983172553363,55.39952364154599,82.00498591712363,0.28262626262626267,0.9985478547854786,0.9090318388564004,0.0028839414553700265,0.9713771377137714,0.41014365288771615,0.12156846801482696,0.9985478547854786,0.20516250245406314,0.0011817135522273505,0.9862226222622262,0.0015270432879884446
ER_100_0.3_1.0,0.9949207835313097,0.00034107060023355016,58.082951217496614,91.51933614526486,0.30909090909090914,0.9986198619861986,0.994152046783626,0.0031539888682745824,0.9701650165016502,0.4485488126649076,0.13574905088890912,0.9986198619861986,0.22909406888911235,0.0010700621653723505,0.9871947194719471,0.0012454385106973737
ER_100_0.4_0.1,1.1049992999494977,0.006966991437879105,18.514345358843915,6.025115239233836,0.04484848484848486,0.9986198619861986,0.11011904761904721,0.0004576376004947432,0.9942994299429943,0.07566462167689153,0.01839525226236413,0.9986198619861986,0.029266546824462704,0.0005402774593058436,0.9973357335733574,0.00036804129618576477
ER_100_0.4_0.2,1.050500467574391,0.0014381292072472131,29.718700985961974,15.577347618694962,0.08545454545454545,0.9998199819981998,0.20982142857142824,0.0008719851576994436,0.9912751275127513,0.14417177914110416,0.03606739852794548,0.9998199819981998,0.0573826437821851,0.0006896256797136807,0.9956195619561956,0.0004597429512968986
ER_100_0.4_0.3,1.0375044413537793,0.0006627776698762362,38.81728384596407,26.843963202570144,0.1266666666666667,0.9999279927992799,0.3110119047619048,0.0012925170068027211,0.9908070807080708,0.21370143149284265,0.055046770237466805,0.9999279927992799,0.08757851513601461,0.0006554064737593782,0.9958955895589559,0.00047291713734933855
ER_100_0.4_0.4,1.0231914221038323,0.0004298967500009689,46.28329758984696,39.53202967933315,0.16666666666666669,0.9994479447944794,0.40922619047619,0.0017006802721088433,0.9885748574857486,0.28118609406952955,0.07460018007223791,0.9994479447944794,0.11868767180020794,0.000534541204143812,0.9954515451545155,0.0002868850593662286
ER_100_0.4_0.5,1.0094380710826116,0.00043511844998951805,52.61340357389855,49.408672751186806,0.2054545454545455,0.9981638163816382,0.5044642857142856,0.0020964749536178107,0.985022502250225,0.3466257668711657,0.09463118173517561,0.9981638163816382,0.1505566692865146,0.0006582130983917631,0.9937713771377138,0.0003759168608481661
ER_100_0.4_0.6,1.0149360814332518,0.0003688259061909712,58.76699451593967,60.97995242953175,0.2478787878787879,0.9977677767776778,0.6086309523809521,0.002529375386518243,0.9821782178217822,0.41820040899795474,0.11795607848973003,0.9977677767776778,0.18766620022997296,0.0006095702884597609,0.9923672367236723,0.00041077782601089665
ER_100_0.4_0.7,1.011098495769795,0.0005419259450106292,64.01049040907982,72.1974160685986,0.28808080808080816,0.9948274827482748,0.7073412698412697,0.0029396000824572248,0.9848784878487848,0.48602590320381733,0.14156521183148837,0.9948274827482748,0.22522794695552514,0.0007353070413017202,0.9905430543054305,0.0004885952829154594
ER_100_0.4_0.8,1.005423066925616,0.0006740788463053286,68.70183136750244,84.52472178537093,0.32747474747474753,0.994035403540354,0.8040674603174599,0.00334157905586477,0.976897689768977,0.5524880708929787,0.1663243863890684,0.994035403540354,0.26461939052963673,0.0006798032260609554,0.9865946594659466,0.0006203412121001593
ER_100_0.4_0.9,1.0040603037416242,0.0005682380461561041,73.11323058036061,90.89050249671209,0.36767676767676777,0.9936033603360336,0.9027777777777775,0.003751803751803751,0.9790939093909391,0.6203135650988412,0.19302141297291323,0.9936033603360336,0.3070939251240109,0.0009457322328373424,0.9887428742874288,0.0009818528262386728
