fraction,graph_uncertainty,mean_uncertainty,std_dev_uncertainty,mean_se_degree_centrality,min_se_degree_centrality,max_se_degree_centrality,mean_se_betweenness_centrality,min_se_betweenness_centrality,max_se_betweenness_centrality,mean_se_closeness_centrality,min_se_closeness_centrality,max_se_closeness_centrality,mean_se_eigen_centrality,min_se_eigen_centrality,max_se_eigen_centrality
0.11,60983.28208976254,109.78961765409092,36.57022032934475,0.011275756236717178,0.00449799148497847,0.019639258878498118,5.108704434216362e-06,7.955579726368791e-12,0.0005621160376486077,0.006282641955371453,0.00045625525394029406,0.016759437652861035,0.00021049025652308814,5.5637008388453586e-11,0.006483832363487998
0.12,63088.375673458315,113.7486953281461,38.59432855270405,0.013409886362839298,0.005636266897528155,0.023150277404531655,5.260240775140534e-06,1.7526269808657912e-13,0.0005769329262924829,0.006716882694342419,0.0005770194470822983,0.01736703935209055,0.00022423719348859249,2.9938583332638087e-10,0.006979452977568958
0.13,65046.575315500224,117.42817216820711,40.489276860976055,0.015729557385212964,0.006902798694590489,0.027944861778695616,5.395513652786612e-06,2.6900201736254415e-12,0.0005880611797213449,0.007173057752433117,0.0007132673657753072,0.018155202525924206,0.00023677192306322735,1.827038691119563e-09,0.007365695317628664
0.14,66877.16308554089,120.90200616940291,42.40921749307277,0.018233296359422422,0.008297586876165455,0.030686341997653306,5.510046824112473e-06,3.534327439610147e-12,0.00059948048831623,0.007647863985849825,0.0008654180893085461,0.0189697912735984,0.00024733314163793253,4.161954341348483e-09,0.007726522567539751
0.15,68595.83903644196,124.1783354443287,44.23031941560687,0.020919091263435545,0.009234459684910136,0.035414794173552935,5.614634137891353e-06,1.340616543721598e-12,0.0006077581357139756,0.008142690646486022,0.0009687788377794437,0.019556118266757374,0.000256866403428245,1.3491812662552099e-10,0.008057156703788041
0.16,70215.5606506607,127.26277089450731,45.955504630688694,0.02378588799009213,0.011258505753000246,0.03771138505873241,5.705773253468053e-06,3.2978528390488736e-12,0.0006165139747537528,0.008662641918442706,0.0011950725436397846,0.020308379618372643,0.0002658835985747899,1.2259831467367724e-09,0.008363468547534768
0.17,71747.14903044242,130.22132855019333,47.74647277437838,0.02683895507118729,0.012794576358139922,0.041291541792042294,5.782660420035825e-06,2.412458758540427e-12,0.0006217652046469511,0.009201174660307985,0.0013177792857978568,0.02112674231574182,0.00027316439000840453,4.4931672666177576e-10,0.008593568117844202
0.18,73199.73578192756,133.0024109106863,49.39462853166021,0.030078382686991277,0.015159303447591735,0.045459874288703114,5.854551877254466e-06,1.7473045655469223e-12,0.0006260956748718367,0.009767380907393378,0.001516398240078616,0.022601851048773613,0.00028054803382640477,1.798297682063101e-08,0.008759049319890098
0.19,74581.09848093869,135.65251776613326,50.9466106453214,0.03350703656609554,0.017195373551729905,0.04938271604938271,5.927781242019577e-06,2.9488472444327206e-12,0.0006324977641092552,0.0103559235928233,0.0017871781953239581,0.023174904419422434,0.00028752489019813054,7.827292451805885e-11,0.009024166785869554
0.2,75897.91656819792,138.13434863284792,52.28629251062693,0.03712337562788004,0.018533047562076587,0.053467882296711115,6.003601380118351e-06,1.9431148911278857e-13,0.0006414524336358025,0.010973889320243417,0.0020386545188388868,0.024416854675051995,0.00029488015931299804,3.1279803401597576e-09,0.0094328421668144
0.21,77155.96935671984,140.57544562154126,53.78041484883805,0.04091857022187338,0.02020438857275693,0.05916727538349159,6.062696042532213e-06,7.407344412404246e-12,0.0006451864620369138,0.011611595126778012,0.0022385796936010946,0.025330817626550865,0.0003003516940995332,1.415549770003857e-09,0.009617670054636141
0.22,78360.29122390065,142.91069202280218,55.2670716029005,0.04489630571512439,0.023455888320753182,0.06363119876633389,6.111885245696351e-06,1.8556870394415375e-12,0.0006490999170506119,0.012278351464171505,0.002578782699734923,0.02680538848516728,0.0003054496180903798,7.297560704678103e-10,0.00981998209913101
0.23,79515.29466252562,145.14519296797354,56.673984421233534,0.049055902749596425,0.026622217813409,0.06983560136713289,6.15992188786375e-06,2.2584767719603558e-15,0.0006540212063009509,0.012972571367573644,0.0029435853224907054,0.027567488392142694,0.000310260831759857,7.695943069959106e-10,0.010080967942792932
0.24,80624.86887767659,147.26009932638115,57.875553694437315,0.05340501462423385,0.028957886815744672,0.07688268849430009,6.214702717452301e-06,4.0324857437942325e-13,0.0006594258599022642,0.013695823970523956,0.0032561878628296647,0.02879951728781976,0.00031560943478008884,8.031979344118223e-12,0.010333781799841358
0.25,81692.45954976823,149.3276974858765,59.179510746714456,0.05793733874014148,0.030686341997653306,0.084268452636821,6.258389980884923e-06,1.3280372801550775e-12,0.0006631916762092327,0.014446360752841423,0.003539091888899163,0.02925818380424484,0.00031976857175815325,1.4118085537142271e-11,0.010503144899245876
0.26,82721.13392986967,151.31294429685366,60.400105870521045,0.06265688511334119,0.03319034750466182,0.08958007056105152,6.303325964144565e-06,1.1435750287470928e-13,0.0006671957267154137,0.015227105547523446,0.0038609927511912066,0.03071809710561814,0.0003238557340986847,2.4024881468258096e-11,0.010678358465477747
0.27,83713.63439472158,153.22742373475984,61.58256572805787,0.06755706858009121,0.036937838739640544,0.09382355328301273,6.344882515109948e-06,1.1464465168383812e-12,0.0006697648679137038,0.016038627254250294,0.0043494629599351835,0.031319447305454814,0.0003277812711472017,8.554533035733191e-10,0.010782928787485085
0.28,84672.42283637839,155.08944752394504,62.76703502439812,0.07263936208480716,0.0384929474018563,0.09942374807239672,6.381872635529316e-06,5.231943667502245e-12,0.0006732751494202878,0.016881863506172396,0.0045561494776699945,0.033014174413616634,0.0003314059730162536,1.182122118902702e-11,0.010942165269710825
0.29,85599.71770926694,156.90290677400876,63.96497000734706,0.07790565740916065,0.04169935701467233,0.10518626734842952,6.415552707016831e-06,8.247936474193793e-13,0.0006771019381765108,0.017755244885300503,0.004985150563495887,0.03407550151888742,0.00033440197156006754,1.1926967217586313e-10,0.011138893300724978
0.3,86497.52514750164,158.6292495755563,65.00534085949091,0.08336377618860084,0.04588772957141326,0.10978045112179248,6.453281100873017e-06,4.729578804003495e-12,0.0006808678710100741,0.01866504523284874,0.005555091389154557,0.03567901234567901,0.0003380765844096545,1.0309674908107051e-10,0.011348636562306015
0.31,87367.66525757285,160.303178905855,66.00631847693779,0.08900382264146005,0.048057066075084094,0.11651391130870611,6.490639010307703e-06,1.7484216297710377e-15,0.0006845198083442609,0.01960688360475178,0.00585447029280677,0.03715015409255565,0.00034141022856780677,4.3984590336860195e-09,0.011541390187385562
0.32,88211.79445818043,161.9316589235791,67.01945262225219,0.09483353623894161,0.05117830543255969,0.1241521802082363,6.523952245043917e-06,5.241443245718249e-13,0.000687819519436014,0.02058654386569161,0.006290146936460226,0.038860689330825045,0.00034457852802049024,3.35463441850032e-10,0.01173034851706408
0.33,89031.42456036726,163.51966299607042,68.02775551099397,0.1008461875288701,0.053467882296711115,0.1305820334849364,6.5551844632134426e-06,1.639647985093147e-12,0.0006909327149629502,0.021601263062734147,0.006812245960313149,0.040786581147864244,0.00034741047461188894,2.476896437017245e-09,0.011906522258134739
0.34,89827.93914316982,165.0557264059688,68.99346800152948,0.10704014525035563,0.056757458158859554,0.14015617218820423,6.585263613478521e-06,3.2035835239802564e-13,0.0006931750461579371,0.022655946097659176,0.007151959198510016,0.04216574816688901,0.00035038579880135757,8.350530941463748e-10,0.01201534391173737
0.35,90602.60767260297,166.56253323979206,69.98980467516883,0.11342281220159141,0.060145230315400484,0.1454517580643707,6.613568229281209e-06,4.080847165183946e-13,0.0006951747453593993,0.023748152709648914,0.007645276866061614,0.043904027088051814,0.0003527804734141953,6.100229487444794e-14,0.012125019665939983
0.36,91356.59772752323,168.04676073634167,71.01025555688923,0.11998483969454993,0.06312719125531939,0.15397178960742527,6.638601864517968e-06,8.495191956563139e-14,0.0006963932075958255,0.024875721764448126,0.008010551955435753,0.04504116063864213,0.00035462683836569157,8.208864050060654e-09,0.012175458867554882
0.37,92090.98562930984,169.4811673348717,71.94891090439476,0.12673533593653738,0.06773540307073839,0.16598079561042528,6.664824316690472e-06,4.122139993012909e-12,0.0006977220745294672,0.026045460175991523,0.008695809438611929,0.04687814769567641,0.00035676753260291004,4.1482549013919394e-11,0.012243347737760908
0.38,92806.76571929986,170.87440102498576,72.86050529540073,0.13366902237572895,0.07143179215251286,0.17423730036342652,6.690650326252534e-06,4.5402494832237375e-14,0.0006990209258370953,0.0272597169860435,0.009254068241770318,0.04856206830124319,0.0003589523300878137,6.597891915725244e-10,0.01228312169031521
0.39,93504.85848546356,172.24621647741705,73.77682339428355,0.14078365252138988,0.07413219024830635,0.18355091828565304,6.715588093309714e-06,1.1407935902535896e-12,0.0007005353571516944,0.02851247744214204,0.009666698815217882,0.05053035935868783,0.00036058761883543997,2.819437192725979e-10,0.012335084154351408
0.4,94186.11770560204,173.55649536314644,74.57851543887564,0.14809072936800605,0.08195983771559347,0.18960401843284727,6.7431822372732316e-06,8.125984753472219e-14,0.0007014841478237196,0.029816172255381523,0.010885451149888032,0.053133654999960804,0.00036297097070785205,4.929225743513083e-12,0.012356726442606611
0.41,94851.33674662618,174.84190814546483,75.36668074591323,0.15557786415043626,0.08719931142353565,0.20200480761041323,6.77020124779843e-06,3.645605967629133e-13,0.0007033777198555767,0.031162921082478364,0.011719888027996912,0.05506291627272149,0.0003651043253057056,1.2895697938586748e-10,0.012455453163978008
0.42,95501.25413688982,176.13050979321537,76.2814695868739,0.16324413502591667,0.0919928937946956,0.20835249664078495,6.791261351820261e-06,1.2423936696922569e-15,0.000704545649071118,0.032556190405948836,0.012496309775788254,0.05705235974963383,0.00036645380854058164,1.2794746181366741e-08,0.012485848068051314
0.43,96136.55851004645,177.37600138794036,77.11852649218301,0.1711000670340009,0.09879348818287755,0.21665809954098242,6.814085239870108e-06,1.5999138466306967e-14,0.000705594807660437,0.03399923952974559,0.013618982736359322,0.05931249907089686,0.00036805526085245736,2.7199892010675593e-09,0.012532019659674919
0.44,96757.8930036717,178.57149718618774,77.84906394528196,0.17914786658530343,0.1019648276905534,0.22607692777862948,6.839266899626768e-06,3.324124966000392e-13,0.0007075419033982369,0.03549680396543654,0.01415097516728041,0.06121936531018429,0.00037016914187793973,1.018975616106917e-08,0.012644395436515132
0.45,97365.85918329917,179.76683709468256,78.67140284635886,0.18737243349455496,0.10518626734842948,0.23375627880132388,6.8604851693070356e-06,1.8081235207246197e-14,0.0007084911648772892,0.03704201784941011,0.014696858053795236,0.06355614027623196,0.0003715265543590858,4.849716838532488e-10,0.012681977014368328
0.46,97961.02055205683,180.93130506828555,79.44537459010188,0.19577645914182387,0.1111111111111111,0.24254885516146782,6.8824708333201405e-06,1.0951005742058662e-12,0.0007098967803049084,0.03863901914324534,0.015715240497011996,0.06562148615729324,0.00037295984042743334,4.898576335103921e-09,0.012769960334257011
0.47,98543.90569736552,182.07252863557395,80.21814353815877,0.2043729294860422,0.11447283118954789,0.2555358160963766,6.90358409685912e-06,3.1131728138937906e-14,0.0007105989259756238,0.04029424805369366,0.016301342413971364,0.06822589155655301,0.0003743782804253275,7.180269789364246e-09,0.012823339485607347
0.48,99115.01111885133,183.19449559612434,80.97497319645261,0.21315258802345846,0.12065017970923876,0.26782438093749406,6.924473112689246e-06,5.916688982953555e-16,0.0007122535859000506,0.042004393589649,0.017393931526389825,0.0706724579237474,0.00037565824420162806,3.192257681524806e-09,0.01285511340624815
0.49,99674.8037754785,184.30032315211156,81.75263925384202,0.22211179547916243,0.1255670084498913,0.27407687968248523,6.94406332573705e-06,1.2342120596441075e-12,0.0007132295937694078,0.043773854294183644,0.018277989757421207,0.07319671543571757,0.00037677543565708325,1.5152571560495005e-08,0.012893429259579871
0.5,100223.72338472423,185.37709161767407,82.49401249249937,0.2312592572552528,0.1298595893190488,0.28572716861005154,6.964446341574201e-06,1.9558381909713418e-13,0.00071420229236171,0.045605587887859796,0.01906024703450261,0.07501127712347587,0.0003779612699932151,1.1804775263017173e-08,0.012932602672402493
