fraction,graph_uncertainty,mean_uncertainty,std_dev_uncertainty,mean_se_degree_centrality,min_se_degree_centrality,max_se_degree_centrality,mean_se_betweenness_centrality,min_se_betweenness_centrality,max_se_betweenness_centrality,mean_se_closeness_centrality,min_se_closeness_centrality,max_se_closeness_centrality,mean_se_eigen_centrality,min_se_eigen_centrality,max_se_eigen_centrality
0.26,146982.19834868098,288.9295441903644,15.841554766656047,0.05492182071961843,0.03732360989618248,0.07743880016152285,7.651920791399822e-08,1.172807794471177e-12,5.17045259210036e-07,0.005494162914599672,0.003541910732100876,0.008102504761199848,6.52403761558797e-06,1.7218985052033042e-13,7.546979602130952e-05
0.27,149255.3697391226,293.4709465900876,16.162263883953703,0.05922052382713032,0.04088573057542026,0.08138769400030661,8.095129241129552e-08,4.4014346117709e-13,5.349349960069702e-07,0.005988843760695849,0.0038691401335248887,0.008589616015666157,6.570989370724895e-06,2.331177613486647e-12,7.207407277678956e-05
0.28,151458.42315398654,297.87017998602914,16.43096027786736,0.06367982797612402,0.04376849321794267,0.0877914951989026,8.557375605198859e-08,3.503274503769465e-12,5.509788667750348e-07,0.0065102771715450395,0.0043581232273374555,0.009243355365261897,6.642320444479233e-06,3.9199940669718665e-12,7.368951984932206e-05
0.29,153595.5930903965,302.1340676789578,16.68318210268519,0.068304330356382,0.047183319455591725,0.09505401297193092,9.052140856408649e-08,6.613371740556595e-16,6.02987704276432e-07,0.007060085875965542,0.004687988823890376,0.010323729675515545,6.738353246039929e-06,1.11785968420276e-12,7.678137415311991e-05
0.3,155670.73855615297,306.2777147369669,16.895391675862594,0.0730854077300519,0.05163221279337395,0.09816523229936647,9.552382671731457e-08,1.450273728819695e-18,6.246829548367466e-07,0.007637602629699201,0.005032790099447644,0.010565578282271369,6.801542259696431e-06,2.3809247108969747e-12,8.528009309917741e-05
0.31,157687.3865246616,310.308490810671,17.164688406455635,0.07802851700549374,0.05533561589617646,0.10389167946725501,1.0057117966109457e-07,9.629771174092652e-13,6.236628752212793e-07,0.008244797087896131,0.005532096999156624,0.01127442891326812,6.824751715944471e-06,8.289729081476677e-13,8.697398676351432e-05
0.32,159648.7692371028,314.2264240593839,17.378281861688663,0.08313236159081991,0.059655250846442034,0.11177944711478247,1.058878916769354e-07,5.10829711146958e-12,6.452445478686705e-07,0.008882059267453666,0.005934462695868253,0.01220196317577635,6.8632691305574625e-06,1.299593217109488e-11,8.221675356147777e-05
0.33,161557.85637499136,318.039924372999,17.577342951842038,0.0883967931895858,0.06566726887047207,0.11926340755169583,1.1132700721493646e-07,6.728258321186734e-12,6.869432449506837e-07,0.00955032856369187,0.0066879473939160435,0.01320222438803871,6.915329383586106e-06,8.502122179808252e-12,8.313600050205751e-05
0.34,163417.38293200638,321.7597805335584,17.85282151468033,0.09382384787189581,0.06773540307073841,0.12556700844989133,1.168165737670269e-07,2.1832736400269638e-11,6.737611208744052e-07,0.010251278869882974,0.006995933164324608,0.014060971567871988,6.9036459552093664e-06,3.3169927981524893e-12,8.153760948909476e-05
0.35,165229.87346096453,325.3791190308579,18.08785472102828,0.0994161168175181,0.07304601899196494,0.13058203348493636,1.2258729522058498e-07,1.3238076988877364e-12,6.907991565015803e-07,0.010985859258629181,0.007637456279028623,0.014754755130756053,6.959143471073986e-06,1.189661472541448e-11,7.782989504258233e-05
